r	g	b
52	28	4
46	24	0
43	21	0
44	22	0
42	21	0
39	18	0
36	17	0
36	19	3
38	20	6
33	17	4
28	14	3
28	15	6
26	16	6
20	12	1
19	10	1
23	14	5
27	15	0
26	14	0
27	14	0
28	15	0
29	15	2
28	14	1
24	12	0
19	9	0
25	17	6
23	17	5
17	13	2
15	11	0
17	13	4
14	10	1
11	7	0
14	7	1
20	7	0
22	9	0
24	11	2
26	13	5
34	21	13
24	11	3
18	8	0
22	12	3
14	5	0
15	8	0
12	5	0
8	3	0
10	7	0
9	9	1
8	8	0
8	8	0
3	3	0
9	9	0
12	12	2
10	10	0
8	8	0
5	5	0
4	4	0
5	5	0
7	6	1
8	7	2
6	7	1
9	10	4
3	4	0
7	8	3
8	9	4
5	6	1
7	4	0
11	8	3
10	9	4
7	6	1
5	4	0
3	4	0
3	4	0
5	6	1
5	6	1
1	2	0
2	1	0
5	4	0
9	5	2
7	3	0
6	2	0
10	5	2
4	3	0
4	3	0
5	4	0
5	4	0
4	3	0
5	4	0
5	4	0
3	2	0
4	3	0
6	5	1
4	3	0
2	1	0
5	4	0
5	4	0
3	2	0
2	1	0
2	4	1
0	2	0
0	2	0
2	4	1
3	5	2
3	5	2
2	4	0
3	5	0
1	3	0
5	7	2
6	8	5
1	3	0
0	1	0
1	3	0
3	5	2
2	4	1
1	1	0
3	3	1
5	5	3
5	5	3
4	4	2
3	3	1
2	2	0
2	2	0
4	4	2
3	3	1
1	1	0
1	1	0
1	1	0
2	2	0
2	2	0
2	2	0
4	5	0
4	5	0
5	6	1
2	3	0
1	2	0
4	5	0
6	7	2
3	4	0
3	4	0
3	4	0
3	4	0
3	4	0
3	4	0
4	5	0
5	6	1
6	7	2
0	4	0
0	5	0
1	6	0
1	6	0
3	5	0
3	5	0
3	5	0
3	5	0
2	4	0
1	3	0
1	3	0
2	3	0
3	4	0
4	5	0
5	6	1
5	6	1
6	5	1
6	5	1
5	4	0
5	4	0
8	5	0
9	6	1
11	6	2
16	8	5
17	9	6
14	7	1
12	5	0
13	4	0
12	3	0
20	11	6
17	8	3
16	7	2
16	11	5
10	7	0
9	6	0
7	7	0
6	5	0
7	6	1
9	8	3
9	9	1
12	9	2
16	12	3
19	12	2
22	12	2
25	13	1
27	13	0
30	14	0
34	16	2
32	13	0
36	14	0
37	15	4
38	15	7
36	16	7
34	16	4
32	15	0
34	15	0
38	16	2
37	18	4
25	12	3
12	8	0
12	9	0
15	11	2
23	10	1
29	10	3
26	9	0
28	11	1
31	13	3
31	13	3
30	12	2
29	11	1
30	12	2
32	14	4
45	23	0
49	27	4
47	25	2
42	21	0
43	22	3
39	20	3
35	16	1
31	13	0
35	19	4
31	15	2
27	13	2
27	15	3
28	15	6
23	13	3
23	13	3
27	17	7
26	13	0
29	16	0
31	18	2
30	17	1
26	12	0
23	9	0
23	11	0
22	12	0
23	15	4
22	16	4
17	13	2
15	11	0
16	12	3
14	10	1
15	8	0
19	12	4
19	6	0
21	8	0
25	12	3
25	12	4
28	15	7
20	7	0
20	10	1
27	16	10
22	13	6
16	9	1
17	10	2
16	11	5
10	7	0
8	8	0
10	10	2
8	8	0
10	7	0
13	10	1
14	11	2
14	11	2
14	11	4
10	10	2
9	9	1
9	9	1
5	4	0
4	3	0
5	4	0
10	9	4
5	4	0
6	7	2
0	1	0
6	7	2
8	5	0
11	8	3
11	8	3
6	5	0
5	4	0
4	5	0
6	7	2
8	9	4
6	7	2
4	5	0
4	3	0
6	5	1
8	4	1
6	2	0
6	1	0
6	1	0
6	5	1
4	3	0
5	4	0
6	5	1
5	4	0
4	3	0
4	3	0
2	1	0
4	3	0
6	5	1
4	3	0
3	2	0
4	3	0
5	4	0
3	2	0
3	2	0
4	4	2
2	4	1
2	4	1
3	5	2
4	6	3
3	5	2
3	5	0
4	6	1
4	6	1
2	4	0
1	3	0
1	3	0
3	5	2
5	7	4
4	6	3
3	3	1
0	0	0
2	2	0
4	4	2
4	4	2
3	3	1
3	3	1
3	3	1
3	3	1
3	3	1
3	3	1
3	3	1
4	4	2
4	4	2
4	4	2
3	3	1
2	2	0
0	1	0
0	1	0
0	1	0
3	4	0
2	3	0
2	3	0
5	6	1
6	7	2
3	4	0
4	5	0
5	6	1
5	6	1
6	7	2
5	6	1
3	4	0
1	2	0
0	4	0
0	5	0
1	6	0
3	5	0
3	5	0
3	5	0
3	5	0
3	5	0
1	3	0
2	4	0
2	4	0
3	4	0
4	5	0
4	5	0
4	5	0
4	5	0
5	6	1
7	6	2
6	5	1
5	4	0
8	5	0
8	5	0
10	5	1
13	8	4
18	10	7
14	7	1
13	4	0
14	5	0
13	4	0
20	11	6
17	8	3
18	9	4
15	10	4
10	7	0
9	6	0
10	7	0
6	5	0
7	6	1
8	7	2
8	8	0
13	10	3
16	12	3
19	12	2
22	12	2
27	15	3
29	15	2
32	16	1
35	17	3
31	14	0
34	15	0
37	15	4
37	14	6
36	16	7
34	16	4
33	16	0
34	15	0
38	16	2
37	18	4
26	13	4
13	9	0
10	10	0
15	11	2
21	11	1
28	11	3
27	10	0
30	13	3
31	14	4
30	13	3
30	13	3
30	12	2
29	11	1
30	12	2
42	21	0
45	24	3
41	20	1
36	15	0
35	16	0
37	18	3
35	18	2
35	17	3
39	23	10
34	18	5
28	14	3
27	13	2
27	13	2
24	11	2
23	10	1
26	13	4
29	16	0
28	15	0
30	14	0
29	13	0
28	12	0
27	11	0
23	9	0
20	8	0
22	12	2
22	14	3
18	11	1
16	9	0
16	9	0
15	8	0
16	9	1
22	13	6
22	9	0
20	7	0
22	9	0
22	9	1
26	13	5
18	8	0
18	8	0
18	7	1
20	11	4
13	6	0
12	8	0
14	9	3
8	5	0
5	5	0
9	9	1
12	12	4
11	8	0
10	7	0
8	5	0
9	6	0
11	8	1
10	7	0
8	5	0
9	6	0
10	7	2
4	3	0
11	10	5
17	16	11
34	33	29
6	5	1
7	6	2
4	3	0
14	11	6
15	12	7
12	9	4
5	4	0
3	2	0
3	2	0
3	4	0
4	5	0
4	5	0
6	5	1
5	4	0
4	3	0
7	3	0
9	5	2
10	5	2
9	4	1
6	7	2
3	4	0
4	5	0
6	7	2
5	6	1
3	4	0
3	4	0
2	3	0
3	4	0
4	5	0
4	5	0
3	4	0
3	4	0
3	4	0
2	3	0
3	4	0
1	1	0
2	2	0
3	3	1
3	3	1
2	2	0
3	3	1
3	4	0
3	4	0
4	5	0
1	2	0
0	0	0
1	1	0
3	3	1
3	3	1
3	3	1
3	3	1
2	2	0
2	2	0
3	3	1
3	3	1
3	3	1
2	2	0
3	3	1
3	3	1
2	2	0
3	3	1
3	3	1
4	4	2
4	4	2
4	4	2
3	3	1
2	2	0
3	4	0
2	3	0
3	4	0
5	6	1
3	4	0
0	1	0
1	2	0
3	4	0
3	4	0
3	4	0
